epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,77.4483,0.46763,0.44082,0.91275,0.99826,1,0.995,0.90143,0.40995,0.30152,0.86944,0.0010892,0.0010892,0.0010892
48,79.047,0.48072,0.43997,0.90778,0.99823,1,0.995,0.91894,0.44351,0.30706,0.86523,0.0010694,0.0010694,0.0010694
49,80.6645,0.48743,0.43849,0.93521,0.99819,1,0.995,0.92591,0.41684,0.29029,0.86097,0.0010496,0.0010496,0.0010496
50,82.2755,0.4325,0.4208,0.88742,0.99825,1,0.995,0.88341,0.46387,0.28556,0.87124,0.0010298,0.0010298,0.0010298
51,83.8522,0.45377,0.3969,0.90364,0.99821,1,0.995,0.91926,0.44971,0.32388,0.87067,0.00101,0.00101,0.00101
52,85.4407,0.43587,0.40155,0.88438,0.9982,1,0.995,0.90329,0.42847,0.30641,0.86683,0.0009902,0.0009902,0.0009902
53,87.0225,0.4347,0.3897,0.90134,0.99824,1,0.995,0.90678,0.40969,0.29243,0.86001,0.0009704,0.0009704,0.0009704
54,88.6109,0.45388,0.38847,0.89441,0.99821,1,0.995,0.87478,0.45643,0.29753,0.87438,0.0009506,0.0009506,0.0009506
55,90.2186,0.49781,0.40653,0.89774,0.99814,1,0.995,0.8741,0.41891,0.28938,0.86693,0.0009308,0.0009308,0.0009308
56,91.8038,0.46755,0.41861,0.8871,0.99818,1,0.995,0.90794,0.44296,0.29983,0.86339,0.000911,0.000911,0.000911
57,93.397,0.46255,0.39193,0.88808,0.99825,1,0.995,0.92974,0.4081,0.29291,0.85301,0.0008912,0.0008912,0.0008912
58,94.9932,0.43621,0.38579,0.89852,0.99827,1,0.995,0.8996,0.40815,0.29118,0.85376,0.0008714,0.0008714,0.0008714
59,96.5841,0.39617,0.34986,0.86677,0.9983,1,0.995,0.94834,0.37431,0.26804,0.84622,0.0008516,0.0008516,0.0008516
60,98.1843,0.43898,0.3845,0.90592,0.99828,1,0.995,0.94881,0.33376,0.26837,0.83374,0.0008318,0.0008318,0.0008318
61,99.7637,0.44429,0.37266,0.92122,0.9983,1,0.995,0.90741,0.37051,0.27463,0.84581,0.000812,0.000812,0.000812
62,101.339,0.44717,0.36781,0.8994,0.99834,1,0.995,0.87353,0.51151,0.30802,0.89153,0.0007922,0.0007922,0.0007922
63,102.919,0.47408,0.3918,0.9129,0.99832,1,0.995,0.91209,0.4019,0.26388,0.8463,0.0007724,0.0007724,0.0007724
64,104.515,0.42737,0.35726,0.88008,0.99834,1,0.995,0.92363,0.3747,0.24308,0.83705,0.0007526,0.0007526,0.0007526
65,106.096,0.40569,0.36144,0.88196,0.99833,1,0.995,0.9396,0.35005,0.25962,0.83746,0.0007328,0.0007328,0.0007328
66,107.692,0.39404,0.34131,0.87763,0.99831,1,0.995,0.95566,0.31341,0.2299,0.82869,0.000713,0.000713,0.000713
67,109.301,0.35402,0.3221,0.86971,0.99832,1,0.995,0.93761,0.32935,0.23158,0.83656,0.0006932,0.0006932,0.0006932
68,110.88,0.36816,0.33616,0.85622,0.9983,1,0.995,0.91684,0.35903,0.23994,0.8493,0.0006734,0.0006734,0.0006734
69,112.457,0.39333,0.34433,0.872,0.99827,1,0.995,0.90627,0.38835,0.23985,0.85787,0.0006536,0.0006536,0.0006536
70,114.068,0.44143,0.36471,0.91276,0.9983,1,0.995,0.90979,0.378,0.25749,0.85123,0.0006338,0.0006338,0.0006338
71,115.658,0.38749,0.34409,0.88249,0.9983,1,0.995,0.93039,0.3652,0.25234,0.84648,0.000614,0.000614,0.000614
72,117.225,0.37568,0.35057,0.88272,0.99829,1,0.995,0.93347,0.36303,0.2738,0.845,0.0005942,0.0005942,0.0005942
73,118.804,0.37975,0.337,0.87054,0.99832,1,0.995,0.94442,0.34716,0.2613,0.84078,0.0005744,0.0005744,0.0005744
74,120.399,0.38441,0.33552,0.87238,0.99828,1,0.995,0.93684,0.33169,0.25943,0.84462,0.0005546,0.0005546,0.0005546
75,121.989,0.37981,0.32721,0.87944,0.99826,1,0.995,0.9295,0.34731,0.25679,0.84301,0.0005348,0.0005348,0.0005348
76,123.575,0.38126,0.33614,0.87124,0.99832,1,0.995,0.91061,0.40117,0.25799,0.8524,0.000515,0.000515,0.000515
77,125.159,0.38654,0.3189,0.86462,0.99829,1,0.995,0.93061,0.34698,0.26203,0.84635,0.0004952,0.0004952,0.0004952
78,126.73,0.3682,0.32366,0.87217,0.99829,1,0.995,0.93677,0.3557,0.27321,0.84505,0.0004754,0.0004754,0.0004754
79,128.312,0.34932,0.31709,0.86319,0.9983,1,0.995,0.94144,0.35951,0.25906,0.84304,0.0004556,0.0004556,0.0004556
80,129.907,0.36437,0.30875,0.87649,0.99829,1,0.995,0.94311,0.31643,0.26394,0.84185,0.0004358,0.0004358,0.0004358
81,131.524,0.37526,0.33301,0.8763,0.99828,1,0.995,0.94692,0.32506,0.25749,0.84071,0.000416,0.000416,0.000416
82,133.15,0.32029,0.28621,0.8498,0.99827,1,0.995,0.9454,0.33608,0.26563,0.84592,0.0003962,0.0003962,0.0003962
83,134.746,0.35161,0.29946,0.87582,0.99831,1,0.995,0.94363,0.30473,0.24878,0.83892,0.0003764,0.0003764,0.0003764
84,136.35,0.29679,0.26853,0.8343,0.9983,1,0.995,0.93935,0.3056,0.25892,0.83597,0.0003566,0.0003566,0.0003566
85,137.927,0.34939,0.3053,0.87398,0.99831,1,0.995,0.94258,0.28477,0.22585,0.82951,0.0003368,0.0003368,0.0003368
86,139.527,0.29705,0.26837,0.84099,0.99834,1,0.995,0.9484,0.274,0.21281,0.83067,0.000317,0.000317,0.000317
87,141.118,0.32809,0.28571,0.85088,0.99833,1,0.995,0.9444,0.27075,0.20895,0.82633,0.0002972,0.0002972,0.0002972
88,142.693,0.31511,0.2828,0.87685,0.99833,1,0.995,0.94758,0.24669,0.19616,0.82449,0.0002774,0.0002774,0.0002774
89,144.282,0.31318,0.2858,0.85186,0.99833,1,0.995,0.9414,0.26887,0.20802,0.82671,0.0002576,0.0002576,0.0002576
90,145.848,0.28875,0.27111,0.84547,0.99833,1,0.995,0.94755,0.28757,0.2063,0.8292,0.0002378,0.0002378,0.0002378
91,162.778,0.21498,0.23508,0.80811,0.99833,1,0.995,0.94708,0.30649,0.21351,0.83139,0.000218,0.000218,0.000218
92,164.684,0.21844,0.22382,0.79695,0.99833,1,0.995,0.94359,0.3087,0.20687,0.83428,0.0001982,0.0001982,0.0001982
93,166.44,0.21895,0.22627,0.78408,0.99829,1,0.995,0.93929,0.29815,0.20586,0.83403,0.0001784,0.0001784,0.0001784
94,168.217,0.21278,0.2273,0.79784,0.9983,1,0.995,0.94108,0.25682,0.20807,0.8302,0.0001586,0.0001586,0.0001586
95,169.984,0.19726,0.22181,0.79606,0.99831,1,0.995,0.94047,0.27471,0.21426,0.83203,0.0001388,0.0001388,0.0001388
96,171.931,0.20485,0.21415,0.8039,0.99831,1,0.995,0.94054,0.27832,0.21593,0.8326,0.000119,0.000119,0.000119
97,174.239,0.1984,0.21033,0.80016,0.99832,1,0.995,0.94241,0.2573,0.20967,0.83057,9.92e-05,9.92e-05,9.92e-05
98,176.019,0.18926,0.20139,0.78175,0.99834,1,0.995,0.94497,0.25725,0.20993,0.83076,7.94e-05,7.94e-05,7.94e-05
99,177.787,0.18826,0.20312,0.77507,0.99834,1,0.995,0.94524,0.25946,0.20872,0.83202,5.96e-05,5.96e-05,5.96e-05
100,179.699,0.18514,0.20142,0.79155,0.99835,1,0.995,0.94512,0.25735,0.21007,0.83201,3.98e-05,3.98e-05,3.98e-05
